repo_full_name,url,filename
ropensci/jqr,https://github.com/ropensci/jqr,codemeta.json
SPARC-FAIR-Codeathon/sPARcRNA_Viz,https://github.com/SPARC-FAIR-Codeathon/sPARcRNA_Viz,codemeta.json
cboettig/codemeta,https://github.com/cboettig/codemeta,codemeta.json
ecohealthalliance/relic,https://github.com/ecohealthalliance/relic,codemeta.json
SebKrantz/dfms,https://github.com/SebKrantz/dfms,codemeta.json
assignUser/octolog,https://github.com/assignUser/octolog,codemeta.json
b-rodrigues/chronicler,https://github.com/b-rodrigues/chronicler,codemeta.json
ropenscilabs/deposits,https://github.com/ropenscilabs/deposits,codemeta.json
MSKCC-Epi-Bio/bstfun,https://github.com/MSKCC-Epi-Bio/bstfun,codemeta.json
ropensci-review-tools/autotest,https://github.com/ropensci-review-tools/autotest,codemeta.json
gogonzo/runner,https://github.com/gogonzo/runner,codemeta.json
EDIorg/dataCleanr,https://github.com/EDIorg/dataCleanr,codemeta.json
ropensci/taxadb,https://github.com/ropensci/taxadb,codemeta.json
ropensci/babette,https://github.com/ropensci/babette,codemeta.json
zadrafi/concurve,https://github.com/zadrafi/concurve,codemeta.json
cienciadedatos/dados,https://github.com/cienciadedatos/dados,codemeta.json
ropensci-review-tools/roreviewapi,https://github.com/ropensci-review-tools/roreviewapi,codemeta.json
caltechlibrary/codemeta2cff,https://github.com/caltechlibrary/codemeta2cff,codemeta.json
caltechlibrary/csvtextarea,https://github.com/caltechlibrary/csvtextarea,codemeta.json
caltechlibrary/CMTools,https://github.com/caltechlibrary/CMTools,codemeta.json
caltechlibrary/caltechauthors,https://github.com/caltechlibrary/caltechauthors,codemeta.json
A-Klingenberg/VIPER,https://github.com/A-Klingenberg/VIPER,codemeta.json
EcoJulia/EcoBase.jl,https://github.com/EcoJulia/EcoBase.jl,codemeta.json
sckott/cowsay,https://github.com/sckott/cowsay,codemeta.json
CSCfi/PID-MS-API,https://github.com/CSCfi/PID-MS-API,codemeta.json
lbbe-software/nlstools,https://github.com/lbbe-software/nlstools,codemeta.json
lbbe-software/nlsMicrobio,https://github.com/lbbe-software/nlsMicrobio,codemeta.json
niuniular/MDDC,https://github.com/niuniular/MDDC,codemeta.json
LCBC-UiO/galamm,https://github.com/LCBC-UiO/galamm,codemeta.json
codemeta/codemeta,https://github.com/codemeta/codemeta,codemeta.json
ropensci/webchem,https://github.com/ropensci/webchem,codemeta.json
inrae/pgd-mmdt,https://github.com/inrae/pgd-mmdt,codemeta.json
adeverse/adephylo,https://github.com/adeverse/adephylo,codemeta.json
megasanjay/test-staging,https://github.com/megasanjay/test-staging,codemeta.json
phreppo/bait,https://github.com/phreppo/bait,codemeta.json
palaeoverse/rphylopic,https://github.com/palaeoverse/rphylopic,codemeta.json
r-spatialecology/landscapemetrics,https://github.com/r-spatialecology/landscapemetrics,codemeta.json
apdavison/fairgraph,https://github.com/apdavison/fairgraph,codemeta.json
sgibb/MALDIquant,https://github.com/sgibb/MALDIquant,codemeta.json
EMODnet/EMODnetBiocheck,https://github.com/EMODnet/EMODnetBiocheck,codemeta.json
ropensci/stats19,https://github.com/ropensci/stats19,codemeta.json
ai4os/ai4os-dev-env,https://github.com/ai4os/ai4os-dev-env,codemeta.json
jonas-ellert/linear-time-runs,https://github.com/jonas-ellert/linear-time-runs,codemeta.json
ropensci/restez,https://github.com/ropensci/restez,codemeta.json
LanguageMachines/wopr,https://github.com/LanguageMachines/wopr,codemeta.json
jbkunst/highcharter,https://github.com/jbkunst/highcharter,codemeta.json
astroumd/miriad,https://github.com/astroumd/miriad,codemeta.json
meng630/e3sm_maint-2.0,https://github.com/meng630/e3sm_maint-2.0,codemeta.json
meng630/GMD_E3SM_SCM,https://github.com/meng630/GMD_E3SM_SCM,codemeta.json
MaRDI4NFDI/python-zbMathRest2Oai,https://github.com/MaRDI4NFDI/python-zbMathRest2Oai,codemeta.json
peterpolidoro/kicad_bom,https://github.com/peterpolidoro/kicad_bom,codemeta.json
OJWatson/magenta,https://github.com/OJWatson/magenta,codemeta.json
mchen96/southern_ocean_eddy_subduction,https://github.com/mchen96/southern_ocean_eddy_subduction,codemeta.json
elipousson/crashapi,https://github.com/elipousson/crashapi,codemeta.json
dhersz/dhmisc,https://github.com/dhersz/dhmisc,codemeta.json
dhersz/aopcoisas,https://github.com/dhersz/aopcoisas,codemeta.json
caltechlibrary/metadatatools,https://github.com/caltechlibrary/metadatatools,codemeta.json
caltechlibrary/tccon-caltechdata,https://github.com/caltechlibrary/tccon-caltechdata,codemeta.json
caltechlibrary/pubarchiver,https://github.com/caltechlibrary/pubarchiver,codemeta.json
rsdoiel/scripttool,https://github.com/rsdoiel/scripttool,codemeta.json
santikka/dosearch,https://github.com/santikka/dosearch,codemeta.json
rsdoiel/obc-3-libext,https://github.com/rsdoiel/obc-3-libext,codemeta.json
tmorrell/Testing,https://github.com/tmorrell/Testing,codemeta.json
rsdoiel/osf,https://github.com/rsdoiel/osf,codemeta.json
rsdoiel/gameset,https://github.com/rsdoiel/gameset,codemeta.json
rsdoiel/opml,https://github.com/rsdoiel/opml,codemeta.json
mateoservent/coefeasy,https://github.com/mateoservent/coefeasy,codemeta.json
rsdoiel/fdx,https://github.com/rsdoiel/fdx,codemeta.json
rsdoiel/Artemis,https://github.com/rsdoiel/Artemis,codemeta.json
rsdoiel/fmt,https://github.com/rsdoiel/fmt,codemeta.json
rsdoiel/MakeRecipes,https://github.com/rsdoiel/MakeRecipes,codemeta.json
Neplex/COveR,https://github.com/Neplex/COveR,codemeta.json
