Repo,URL,File
jamestsakalos/climenv,https://github.com/jamestsakalos/climenv,codemeta.json
interTwin-eu/dcnios,https://github.com/interTwin-eu/dcnios,codemeta.json
ropensci/phruta,https://github.com/ropensci/phruta,codemeta.json
adrijmz/os_group_project,https://github.com/adrijmz/os_group_project,codemeta.json
janelia-kicad/mouse-joystick-pcb,https://github.com/janelia-kicad/mouse-joystick-pcb,codemeta.json
ropensci/mauricer,https://github.com/ropensci/mauricer,codemeta.json
ropensci/mcbette,https://github.com/ropensci/mcbette,codemeta.json
moranegg/deposit-template,https://github.com/moranegg/deposit-template,codemeta.json
ajpelu/likelihoodTools,https://github.com/ajpelu/likelihoodTools,codemeta.json
Infineon/StreamGen,https://github.com/Infineon/StreamGen,codemeta.json
koenniem/mpathsenser,https://github.com/koenniem/mpathsenser,codemeta.json
luca-giunti/gammapyXray,https://github.com/luca-giunti/gammapyXray,codemeta.json
bojanakoteska/SchrodingerAPI,https://github.com/bojanakoteska/SchrodingerAPI,codemeta.json
paramm-team/pybamm-param,https://github.com/paramm-team/pybamm-param,codemeta.json
EDIorg/ecocomDP,https://github.com/EDIorg/ecocomDP,codemeta.json
Raaquel09/IAGrupoOptativa,https://github.com/Raaquel09/IAGrupoOptativa,codemeta.json
llrs/experDesign,https://github.com/llrs/experDesign,codemeta.json
Rafnuss/GeoPressureR,https://github.com/Rafnuss/GeoPressureR,codemeta.json
JiaxuZ/E3SMv2_CL_SOM,https://github.com/JiaxuZ/E3SMv2_CL_SOM,codemeta.json
instatdealii/idealii,https://github.com/instatdealii/idealii,codemeta.json
ropensci/daiquiri,https://github.com/ropensci/daiquiri,codemeta.json
AI-READI/schemas,https://github.com/AI-READI/schemas,codemeta.json
hpc-maths/samurai,https://github.com/hpc-maths/samurai,codemeta.json
ropensci-review-tools/dashboard,https://github.com/ropensci-review-tools/dashboard,codemeta.json
dmgordo/relative-difference-sets,https://github.com/dmgordo/relative-difference-sets,codemeta.json
ropensci/osmplotr,https://github.com/ropensci/osmplotr,codemeta.json
lifewatch/eva,https://github.com/lifewatch/eva,codemeta.json
Jluo1030/getdist,https://github.com/Jluo1030/getdist,codemeta.json
rmgpanw/ukbwranglr,https://github.com/rmgpanw/ukbwranglr,codemeta.json
e-sensing/sits,https://github.com/e-sensing/sits,codemeta.json
FairRootGroup/DDS,https://github.com/FairRootGroup/DDS,codemeta.json
elipousson/maplayer,https://github.com/elipousson/maplayer,codemeta.json
CogDisResLab/drugfindR,https://github.com/CogDisResLab/drugfindR,codemeta.json
rOpenGov/iotables,https://github.com/rOpenGov/iotables,codemeta.json
R3BRootGroup/frs,https://github.com/R3BRootGroup/frs,codemeta.json
asitav-sen/KoboconnectR,https://github.com/asitav-sen/KoboconnectR,codemeta.json
janelia-kicad/janelia-kicad-library,https://github.com/janelia-kicad/janelia-kicad-library,codemeta.json
lyh970817/qualtdict,https://github.com/lyh970817/qualtdict,codemeta.json
ropensci/nodbi,https://github.com/ropensci/nodbi,codemeta.json
ropensci-review-tools/pkgstats,https://github.com/ropensci-review-tools/pkgstats,codemeta.json
ropensci/eph,https://github.com/ropensci/eph,codemeta.json
siconos/siconos,https://github.com/siconos/siconos,codemeta.json
s3alfisc/fwildclusterboot,https://github.com/s3alfisc/fwildclusterboot,codemeta.json
leonawicz/tabr,https://github.com/leonawicz/tabr,codemeta.json
kguidonimartins/misc,https://github.com/kguidonimartins/misc,codemeta.json
MITDDC/mdl-1971-1987,https://github.com/MITDDC/mdl-1971-1987,codemeta.json
elipousson/sharepointr,https://github.com/elipousson/sharepointr,codemeta.json
